Дата;"Количество распознанных разговоров";"Жалобы и претензии со стороны клиента (AI)";"Клиент требует начальника, эскалирует проблему (AI)";"Клиент требует вернуть деньги (AI)";"Клиент угрожает обратиться в суд (AI)";"Клиент жалуется на ошибки в продукте, услуге или сервисе (AI)";"Сотрудник уточняет потребность клиента (AI)";"Сотрудник уточняет кто в компании является ЛПР (AI)";"Сотрудник предлагает встречу с клиентом (AI)";"Возражение клиента «Ничего не надо», «Не интересно» и подобное (AI)";"Сотрудник проговорил дальнейшие шаги (AI)";"Сотрудник резюмирует диалог (AI)";"Клиент недоволен сроками решения проблемы (AI)";"Возражение клиента «Дорого» (AI)";"Возражение клиента «Нужно подумать» и подобное (AI)";"Сотрудник озвучил цель звонка (AI)";"Закрытие клиент -";"Потребность клиент -";"Закрытие сотрудник -";"Закрытие сотрудник +";"Аргументация сотрудник -";"Аргументация сотрудник +";"Потребность сотрудник -";"Потребность сотрудник +";Приветствие.;"Некомпетентность оператора";"Неуверенность оператора";"Оператор просит прощения";"Проблемная ситуация у клиента";"Уменьшительно ласкательные";"Жалобы и недовольства клиента";"Замечания про невнятную речь";"Клиент делает замечания оператору";"Клиент переживает";"Невыполненные обещания";"Недовольные восклицания";"Повторные обращения клиента";"Сколько можно ждать";"Требует начальника";"Сотрудник уточнил стоимость";"Клиент отказался от покупки";"Слова паразиты";"Сотрудник упомянул акцию";"Чем занимается ваша компания";Ожидание;Допродажа;"Проблемы со связью";"Проблемы/Сложности с продуктом";"Клиент не может разговаривать";"Сотрудник динамит клиента";"Сотрудник не может проконсультировать";"Сотрудник закрывает сделку";"Благодарность клиента";"Сравнение с конкурентами";"Клиент обратился за помощью";"Матерные слова";"Негативные слова";Оскорбления;"Сотрудник поздоровался";"Сотрудник попрощался";"Обращение по имени";"Рейтинг сотрудника";"Средняя длительность записей";"Средняя длительность разговора";"Средняя длительность молчания";"Доля разговора";"Доля обоюдного молчания";"Количество перебиваний сотрудником";"Количество перебиваний клиентом";"Доля обоюдного разговора";"Доля разговора сотрудника";"Доля разговора клиента";"Скорость разговора сотрудника";"Скорость разговора клиента"
2026-04-24;2,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"50,00 %";"0,00 %";"50,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"50,00 %";"50,00 %";"50,00 %";"50,00 %";"50,00 %";"50,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"50,00 %";"50,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"50,00 %";"0,00 %";"100,00 %";"0,00 %";"50,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";24,17;109,65;57,64;52,01;52,57;47,43;1,50;1,50;2,19;62,35;38,05;4,05;4,08
2026-04-09;1,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"100,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";21,67;52,82;30,72;22,10;58,16;41,84;1,00;1,00;2,12;41,83;59,70;4,15;4,58
2026-04-15;1,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";25,00;87,35;46,68;40,67;53,44;46,56;0,00;0,00;0,00;60,35;43,57;3,52;4,13
2026-04-16;1,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";31,67;145,89;84,52;61,37;57,93;42,07;3,00;2,00;2,52;70,31;30,60;4,42;3,90
2026-04-20;1,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";"0,00 %";"100,00 %";"0,00 %";"100,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";35,00;206,23;109,20;97,04;52,95;47,05;1,00;2,00;2,07;50,35;48,34;3,72;3,14
2026-04-22;1,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";16,67;65,07;30,63;34,44;47,07;52,93;0,00;0,00;0,00;23,02;79,43;2,84;3,50
2026-04-23;1,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";20,00;47,47;27,88;19,59;58,73;41,27;0,00;1,00;2,19;60,11;42,04;4,26;3,49
2026-04-25;1,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";20,00;55,84;29,98;25,86;53,69;46,31;1,00;2,00;6,47;47,87;48,37;4,05;3,47
2026-04-26;1,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"100,00 %";"100,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";25,00;89,05;49,10;39,95;55,14;44,86;2,00;1,00;2,46;64,68;34,07;4,25;3,79
2026-04-29;1,00;"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"100,00 %";"100,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"0,00 %";"100,00 %";"0,00 %";"100,00 %";13,33;22,89;13,42;9,46;58,63;41,33;1,00;0,00;5,66;55,14;42,18;3,07;3,43
